	Start	Marker
926	11540138033	8.0
927	11540338202	6.0
928	11540539189	1.0
929	11540739356	8.0
930	11540939271	3.0
931	11541139629	12.0
932	11541340695	2.0
933	11541543662	6.0
934	11541739882	0.0
935	11541940580	8.0
936	11542141351	5.0
937	11542339426	10.0
938	11542543160	4.0
939	11542739624	11.0
940	11542939722	9.0
941	11543141814	1.0
942	11543341088	10.0
943	11543540050	2.0
944	11543742205	8.0
945	11543943740	4.0
946	11544141914	9.0
947	11544343431	1.0
948	11544542866	11.0
949	11544740820	4.0
950	11544942176	8.0
951	11545142544	2.0
952	11547326149	12.0
953	11549244099	888.0
954	11550261357	777.0
955	11550461475	11.0
956	11550663523	1.0
957	11550864116	12.0
958	11551064297	0.0
959	11551263809	7.0
960	11551464812	4.0
961	11551663130	11.0
962	11551863270	2.0
963	11552063388	6.0
964	11552263001	3.0
965	11552463561	7.0
966	11552666949	2.0
967	11552863833	11.0
968	11553063998	8.0
969	11553264016	3.0
970	11553464354	9.0
971	11553665623	1.0
972	11553866496	6.0
973	11554064520	4.0
974	11554264650	7.0
975	11554464763	0.0
976	11554665805	6.0
977	11554865001	1.0
978	11555066054	9.0
979	11555266352	3.0
980	11555466464	10.0
981	11555664763	8.0
982	11555864751	4.0
983	11556065025	10.0
984	11556268417	2.0
985	11556467142	8.0
986	11556667224	0.0
987	11556866674	12.0
988	11557068628	5.0
989	11557267201	6.0
990	11557467638	3.0
991	11557667790	11.0
992	11557867979	5.0
993	11558068091	7.0
994	11558269269	10.0
995	11558467560	2.0
996	11558668461	8.0
997	11558869415	5.0
998	11559067879	11.0
999	11559269837	2.0
1000	11559468039	12.0
1001	11559670107	5.0
1002	11559870455	9.0
1003	11560071884	1.0
1004	11560270992	6.0
1005	11560469513	0.0
1006	11560669659	7.0
1007	11560870165	6.0
1008	11561070328	3.0
1009	11561270393	9.0
1010	11561470483	0.0
1011	11561670482	7.0
1012	11561870641	2.0
1013	11562074700	9.0
1014	11562272864	0.0
1015	11562471337	7.0
1016	11562671330	3.0
1017	11562871475	11.0
1018	11563071806	2.0
1019	11563271531	12.0
1020	11563473649	9.0
1021	11563671808	1.0
1022	11563872632	8.0
1023	11564073882	4.0
1024	11564271955	10.0
1025	11564472070	5.0
1026	11564672175	12.0
1027	11564874009	1.0
1028	11565072356	9.0
1029	11565272684	4.0
1030	11565472702	10.0
1031	11565672760	1.0
1032	11565872808	8.0
1033	11566073067	10.0
1034	11566274394	3.0
1035	11566474544	9.0
1036	11566674627	4.0
1037	11566875606	8.0
1038	11567075609	5.0
1039	11567273702	12.0
1040	11567475319	4.0
1041	11567675293	10.0
1042	11567873559	5.0
1043	11568075568	12.0
1044	11568277262	2.0
1045	11568473643	11.0
1046	11568675586	12.0
1047	11568875820	0.0
1048	11569075960	8.0
1049	11569275004	5.0
1050	11569476141	10.0
1051	11569676577	0.0
1052	11569876430	11.0
1053	11570078702	1.0
1054	11570276710	6.0
1055	11570476909	3.0
1056	11570676953	7.0
1057	11570876966	4.0
1058	11573060421	6.0
1059	11575070124	888.0
1060	11576083318	777.0
1061	11576279522	7.0
1062	11576481456	3.0
1063	11576681513	10.0
1064	11576881692	0.0
1065	11577079914	12.0
1066	11577281980	1.0
1067	11577483138	8.0
1068	11577682279	3.0
1069	11577882359	12.0
1070	11578080418	4.0
1071	11578281282	11.0
1072	11578481643	2.0
1073	11578681922	6.0
1074	11578883906	11.0
1075	11579082049	0.0
1076	11579283580	7.0
1077	11579483673	4.0
1078	11579683862	8.0
1079	11579882566	2.0
1080	11580084607	6.0
1081	11580286057	3.0
1082	11580482944	7.0
1083	11580685084	5.0
1084	11580885142	6.0
1085	11581084620	4.0
1086	11581284729	10.0
1087	11581484990	9.0
1088	11581684810	1.0
1089	11581885052	8.0
1090	11582085970	0.0
1091	11582287158	9.0
1092	11582485235	1.0
1093	11582685352	10.0
1094	11582885502	3.0
1095	11583085470	12.0
1096	11583285616	5.0
1097	11583486491	6.0
1098	11583685488	2.0
1099	11583887427	11.0
